accepted	Lprev	Lstar	alpha	minimum	time
191		-117.952456	-119.080278	0.323738	2.178040e-08	1.524919e+00
192		-117.981904	-117.981904	0.970981	2.176422e-08	1.541241e+00
193		-119.246320	-119.246320	0.282404	2.183785e-08	1.533110e+00
194		-116.248025	-116.248025	1.000000	2.179854e-08	1.497970e+00
194		-116.248025	-119.023878	0.062296	2.206644e-08	1.490155e+00
195		-116.615990	-116.615990	0.692141	2.180280e-08	1.540847e+00
196		-114.843398	-114.843398	1.000000	2.157308e-08	1.542039e+00
197		-115.964573	-115.964573	0.325896	2.141361e-08	1.540419e+00
198		-113.756169	-113.756169	1.000000	2.191815e-08	1.629332e+00
199		-114.367766	-114.367766	0.542484	2.180658e-08	1.628807e+00
199		-114.367766	-115.388484	0.360336	2.135948e-08	1.514070e+00
199		-114.367766	-116.191512	0.161420	2.205512e-08	1.541238e+00
200		-117.838360	-117.838360	0.031099	2.186846e-08	1.490665e+00
201		-117.470169	-117.470169	1.000000	2.185419e-08	1.560232e+00
201		-117.470169	-120.413515	0.052689	2.205251e-08	1.521717e+00
201		-117.470169	-122.315793	0.007863	2.214012e-08	1.537602e+00
